,customer_city,price,cumulative_sum,cumcut
3679,rio doce,66.0,13795017.560000338,0.9988622947602416
3680,angicos,65.99,13795083.550000338,0.9988670729290655
3681,bertopolis,65.9,13795149.450000338,0.9988718445812174
3682,santo inacio,65.9,13795215.350000339,0.9988766162333692
3683,capitao eneas,65.6,13795280.950000338,0.9988813661632806
3684,ribeiropolis,65.0,13795345.950000338,0.9988860726487111
3685,goncalves dias,65.0,13795410.950000338,0.9988907791341416
3686,serra dos dourados,65.0,13795475.950000338,0.998895485619572
3687,paranapua,64.99000000000001,13795540.940000338,0.9989001913809279
3688,alianca,64.99,13795605.930000339,0.9989048971422837
3689,matriz de camaragibe,64.0,13795669.930000339,0.998909531220246
3690,sao jorge,63.99,13795733.920000339,0.9989141645741336
3691,passa tres,63.85,13795797.770000339,0.9989187877909758
3692,anage,63.8,13795861.57000034,0.9989234073874445
3693,guairaca,63.8,13795925.37000034,0.9989280269839133
3694,cristopolis,63.41,13795988.78000034,0.9989326183414693
3695,garruchos,62.9,13796051.68000034,0.9989371727712167
3696,terenos,62.89,13796114.570000341,0.9989417264768894
3697,pedro velho,61.99,13796176.560000341,0.9989462150158407
3698,tapera,61.8,13796238.360000342,0.9989506897973731
3699,ibipeba,61.7,13796300.060000341,0.9989551573381587
3700,muquem do sao francisco,61.32,13796361.380000342,0.9989595973641063
3701,pontalinda,60.8,13796422.180000342,0.9989639997381706
3702,taiacu,60.5,13796482.680000342,0.9989683803899944
3703,pavao,60.0,13796542.680000342,0.998972724838084
3704,guarapua,60.0,13796602.680000342,0.9989770692861737
3705,novo machado,59.99,13796662.670000343,0.9989814130101887
3706,camacho,59.99,13796722.660000343,0.9989857567342038
3707,pinhotiba,59.9,13796782.560000343,0.9989900939415466
3708,sao domingos das dores,59.9,13796842.460000344,0.9989944311488895
3709,padre paraiso,59.9,13796902.360000344,0.9989987683562324
3710,palmares paulista,59.9,13796962.260000344,0.9990031055635753
3711,pedranopolis,59.9,13797022.160000345,0.9990074427709181
3712,oleo,59.9,13797082.060000345,0.9990117799782611
3713,messias targino,59.9,13797141.960000345,0.9990161171856039
3714,mocajuba,59.9,13797201.860000346,0.9990204543929468
3715,brasilandia,59.9,13797261.760000346,0.9990247916002897
3716,sarutaia,59.9,13797321.660000347,0.9990291288076326
3717,rainha do mar,59.9,13797381.560000347,0.9990334660149754
3718,santa rita do itueto,59.9,13797441.460000347,0.9990378032223184
3719,buriti do tocantins,59.9,13797501.360000348,0.9990421404296613
3720,cerrito,59.9,13797561.260000348,0.9990464776370042
3721,lagoa dos patos,59.9,13797621.160000348,0.9990508148443471
3722,porto lucena,59.89,13797681.050000349,0.9990551513276152
3723,sao mateus de minas,59.88,13797740.93000035,0.9990594870868088
3724,campo florido,59.8,13797800.73000035,0.999063817053405
3725,brasileia,59.699999999999996,13797860.43000035,0.9990681397792541
3726,jacuizinho,59.54,13797919.970000349,0.9990724509199084
3727,galvao,59.5,13797979.470000349,0.999076759164264
3728,novo mundo,59.15,13798038.62000035,0.9990810420660058
3729,queixada,59.0,13798097.62000035,0.9990853141066273
3730,rio rufino,59.0,13798156.62000035,0.9990895861472487
3731,lamarao,59.0,13798215.62000035,0.9990938581878703
3732,jamaica,59.0,13798274.62000035,0.9990981302284918
3733,paineiras,58.99,13798333.61000035,0.9991024015450386
3734,cairu,58.99,13798392.60000035,0.9991066728615855
3735,croata,58.99,13798451.59000035,0.9991109441781324
3736,nova america da colina,58.99,13798510.58000035,0.9991152154946792
3737,uruburetama,58.99,13798569.57000035,0.9991194868112261
3738,anhumas,58.99,13798628.56000035,0.9991237581277729
3739,palmeirinha,58.919999999999995,13798687.48000035,0.999128024375797
3740,castro alves,58.9,13798746.380000351,0.9991322891756717
3741,porto amazonas,58.79,13798805.17000035,0.9991365460107249
